N п/п,Предприятие,Таб №,ФИО,Дата рождения,Подразделение,Статус,Должность,Код функции,Наименование функции,Дата приема,Дата увольнения,Статья КЗОТ,причина,причина уточн.,Кратко,Название ставки,Категория,Поощрение От,Поощрение До,Уточнение,Основание
1187,Озерный город,433371483, Осинова Виктория Серафимовна ,28306,Складское хозяйство,Постоянно,Кладовщик,105.04,Склады МТР,37987,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42982,72686,,День Химика и День рождения СИБУРа
 631,Синие горы,333467237, Ярославов Семен Яковович ,23340,Цех нейтрализации и очистки промышленных и сточных вод,Постоянно,Машинист насосных установок,101.07,Энергопроизводство,37252,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43383,72686,,В связи с юбилеем
1188,Озерный город,433427168, Серпионов Фока Григориевич ,27730,Участок по ремонту трубопроводной арматуры и грузоподъемных механизмов,Постоянно,Слесарь-ремонтник по ремонту технологического оборудования,102.19,Централизованное ремонтное производство,37987,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42982,72686,,День Химика и День рождения СИБУРа
 632,Синие горы,333407389, Островерха Регина Серафимовна ,31661,Установка дегидрирования бутана (ДБО-2),Постоянно,Машинист технологических компрессоров,101.02,Производство продукции,39637,72686,,,,,Основной персонал - рабочие,рабочие,43028,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и значительный  личный вклад в развитие Общества"
 633,Синие горы,333407389, Островерха Регина Серафимовна ,31661,Установка дегидрирования бутана (ДБО-2),Постоянно,Машинист технологических компрессоров,101.02,Производство продукции,39637,72686,,,,,Основной персонал - рабочие,рабочие,43236,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и значительный  личный вклад в развитие Общества"
1189,Озерный город,433405249, Бильбасова Владислава Анатолиевна ,21061,Центральная заводская лаборатория,Постоянно,Ведущий инженер-химик,137.01,Контроль качества,37987,72686,,,,,Вспомогательный персонал - АУП,специалисты,42934,72686,,За высокие результаты работы
 634,Синие горы,333462947, Трунина Христина Трофимовна ,20841,Участок по эксплуатации высоковольтного электрооборудования,Постоянно,Электромонтер по обслуживанию подстанций,102.19,Централизованное ремонтное производство,37252,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42762,72686,,В связи с юбилеем
1850,Гундабад,1050101418, Русскиха Ева Потаповна ,30324,Закупки материалов,Временно,Менеджер,105.02,Закупка МТР,42401,72686,,,,,Основной персонал - АУП,руководители,42934,72686,,За высокие результаты работы
 635,Синие горы,333467249, Юшкова Елизавета Якововна ,26703,Цех нейтрализации и очистки промышленных и сточных вод,Постоянно,Машинист насосных установок,101.07,Энергопроизводство,37252,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42879,72686,,"За высокое профессиональное мастерство, добросовестный труд, достижения в работе и значительный личный вклад в развитие Общества"
1409,Мория,450050843, Калугина Людмила Всеволодовна ,34031,Производственно-диспетчерский отдел,Постоянно,Инженер по производству,101.06,Мониторинг эффективности производства,42261,72686,,,,,Администрация,специалисты,42928,72686,,За высокие производственные достижения
 199,Лихолесье,283463880, Юневича Полина Емельяновна ,25523,Лаборатория производства эмульсионных каучуков (объекты обслуживания: установка приема и подготовки стирола для производства синтетических каучуков; установка растворов и компримирования; установка полимеризации; установка дегазации),Постоянно,Лаборант химического анализа,137.01,Контроль качества,32321,43462,п 2 ч 1 ст 81 ТК РФ,"по инициативе работодателя в связи с сокращением численности или штата работников организации, пункт 2 части первой статьи 81 Трудового кодекса Российской Федерации",по инициативе Работодателя,Текучесть-инициатива_Компании,Вспомогательный персонал - рабочие,рабочие,43132,43159,,"Программа мотивации по ОТ, ПБ и ООС"
1410,Мория,450023387, Каде Мария Феликсовна ,31417,"ЭЦ-Участок по обслуживанию и ремонту электрооборудования производств и общехозяйственного электрооборудования в технологических отделениях производств пиролиза углеводородов нефти, очистки, компримирования и разделения пирогаза, этилбензола и стирола,",Постоянно,Электромонтер по ремонту и обслуживанию электрооборудования,102.03,Энергетика - служба главного энергетика,38544,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42880,72686,,За высокие производственные достижения
1411,Мория,450023387, Каде Мария Феликсовна ,31417,"ЭЦ-Участок по обслуживанию и ремонту электрооборудования производств и общехозяйственного электрооборудования в технологических отделениях производств пиролиза углеводородов нефти, очистки, компримирования и разделения пирогаза, этилбензола и стирола,",Постоянно,Электромонтер по ремонту и обслуживанию электрооборудования,102.03,Энергетика - служба главного энергетика,38544,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43242,72686,,За высокие производственные достижения
 636,Синие горы,333541489, Якуничев Феликс Святославович ,34522,Сборно-сварочный участок,Постоянно,Электросварщик ручной сварки,102.19,Централизованное ремонтное производство,42156,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43088,72686,,За значительный личный вклад в развитие движения чемпионатов сквозных рабочих профессий высокотехнологичных отраслей промышленности WorldSkills и конкурсов профессионального мастерства в Обществе
 637,Синие горы,333541489, Якуничев Феликс Святославович ,34522,Участок №2,Постоянно,Электросварщик ручной сварки,102.19,Централизованное ремонтное производство,42156,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43236,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и значительный  личный вклад в развитие Общества"
1537,Хельмова Падь,366809864, Терёшина Христина Кузьмевна ,25534,Участок локальных очистных сооружений и вспомогательных установок,Постоянно,Начальник участка,101.07,Энергопроизводство,38009,72686,,,,,Вспомогательный персонал - АУП,руководители,42926,72686,,за высокие результаты работы
 200,Лихолесье,283367965, Кунаев Порфирий Эдуардович ,28864,"Установка подготовки сырья, коагуляции и фильтрации",Постоянно,Аппаратчик подготовки сырья и отпуска полуфабрикатов и продукции,101.02,Производство продукции,39706,72686,,,,,Основной персонал - рабочие,рабочие,42856,43220,,"Программа стимулирования работников в области ОТ, ПБ и ООС ""Чемпион"""
 638,Синие горы,333499264, Гнусарев Борислав Левович ,32279,Установка выделения бутадиена (ДБО-10),Постоянно,Инженер-технолог,101.02,Производство продукции,40904,43010,п 5 ч 1 ст 77 ТК РФ,"в связи с переводом работника по его просьбе на работу к другому работодателю, пункт 5 части первой статьи 77 Трудового кодекса Российской Федерации",с последующим приемом в рамках Холдинга/ дружественного предприятия,Перевод_внутри_Холдинга,Основной персонал - АУП,специалисты,42879,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и значительный  личный вклад в развитие Общества"
 639,Синие горы,333550145, Улицкий Петр Серафимович ,18995,Руководство,Постоянно,Исполнительный директор,110.01,Общее руководство,42433,72686,,,,,Администрация,руководители,43325,72686,,
 551,Лесные эдьфы,400000887, Клюшникова Евгения Борисовна ,22408,"Отделение приготовления растворов эмульгаторов,электролитов",Постоянно,Аппаратчик омыления и приготовления хим.растворов,101.02,Производство продукции,29850,43462,п 3 ч 1 ст 77 ТК РФ,"По инициативе работника, в связи с уходом на пенсию, пункт 3 части первой статьи 77 Трудового кодекса Российской Федерации",в связи с уходом на пенсию,Прочее,Основной персонал - рабочие,рабочие,43252,72686,,В связи с празднованием Дня химика
 640,Синие горы,333458445, Якушков Григорий Карлович ,22910,Лаборатория производства бутадиена,Постоянно,Лаборант химического анализа,137.01,Контроль качества,37252,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42976,72686,,В связи с юбилеем
 641,Синие горы,333463018, Силин Кондрат Иванович ,21079,Группа по эксплуатации и ремонту электрооборудования цеха нейтрализации и очистки сточных вод (НОПСВ),Постоянно,Электромонтер по ремонту и обслуживанию электрооборудования,102.19,Централизованное ремонтное производство,37252,43432,п 1ч 1 ст 77 ТК РФ,"по соглашению сторон, пункт 1 части первой статьи 77 Трудового кодекса Российской Федерации",оптимизация численности,Оптимизация,Вспомогательный персонал - рабочие,рабочие,42983,72686,,В связи с юбилеем
 642,Синие горы,333467639, Драчёва Римма Глебовна ,26981,Цех по ремонту технологических установок и оборудования,Постоянно,Начальник цеха,102.19,Централизованное ремонтное производство,37252,72686,,,,,Вспомогательный персонал - АУП,руководители,42881,72686,,За высокие результаты работы
 552,Лесные эдьфы,400000986, Перешивкина Наталья Семеновна ,23189,Центральная заводская лаборатория,Постоянно,Начальник центральной заводской лаборатории,137.01,Контроль качества,31272,43098,п 3 ч 1 ст 77 ТК РФ,"По инициативе работника, в связи с уходом на пенсию, пункт 3 части первой статьи 77 Трудового кодекса Российской Федерации",в связи с уходом на пенсию,Прочее,Вспомогательный персонал - АУП,руководители,42963,72686,,"В честь 65-летия АО ""КЗСК"""
 553,Лесные эдьфы,400000986, Перешивкина Наталья Семеновна ,23189,Центральная заводская лаборатория,Постоянно,Начальник центральной заводской лаборатории,137.01,Контроль качества,31272,43098,п 3 ч 1 ст 77 ТК РФ,"По инициативе работника, в связи с уходом на пенсию, пункт 3 части первой статьи 77 Трудового кодекса Российской Федерации",в связи с уходом на пенсию,Прочее,Вспомогательный персонал - АУП,руководители,42937,72686,,За высокие результаты работы
 643,Синие горы,333440164, Николаичев Руслан Валерьянович ,25562,"Подготовка кадров для ООО ""ЗапСибНефтехим""",Постоянно,Начальник смены,101.02,Производство продукции,37252,72686,,,,,Крупнобюджетные инвестпроекты,руководители,42886,72686,,"За большой вклад, внесенный в развитие промышленности, многолетний добросовестный труд, и в связи с профессиональным праздником - Днем химика"
1412,Мория,450049919, Лившица Ангелина Александровна ,18137,Служба управления надежностью,Временно,Главный эксперт,102.24,Управление надежностью,42192,43465,п 2 ч 1 ст 77 ТК РФ,"в связи с истечением срока трудового договора, пункт 2 части первой статьи 77 Трудового кодекса Российской Федерации",с последующим приемом в рамках Холдинга/ дружественного предприятия,Перевод_внутри_Холдинга,Администрация,специалисты,43242,72686,,За высокие производственные достижения
 201,Лихолесье,283572784, Коржев Ираклий Филиппович ,34013,Установка водной дегазации,Постоянно,Аппаратчик перегонки,101.02,Производство продукции,41047,72686,,,,,Основной персонал - рабочие,рабочие,43374,43404,,"Программа мотивации по ОТ, ПБ и ООС"
 202,Лихолесье,283353480, Низова Агния Олеговна ,26762,Установка водной дегазации,Постоянно,Аппаратчик перегонки,101.02,Производство продукции,36808,72686,,,,,Основной персонал - рабочие,рабочие,42993,72686,,за высокие результаты работы
1190,Озерный город,433382248, Ижутина Марфа Германовна ,25087,Установка компримирования и разделения пирогаза,Постоянно,Машинист компрессорных установок,101.02,Производство продукции,39419,72686,,,,,Основной персонал - рабочие,рабочие,42982,72686,,День Химика и День рождения СИБУРа
1643,Изенгард,316679880, Миров Трофим Чеславович ,33259,Установка низкотемпературного газоразделения,Постоянно,Аппаратчик газоразделения,101.02,Производство продукции,41400,72686,,,,,Основной персонал - рабочие,рабочие,42881,72686,,
1722,Сен-Мартен,583347968, Яров Дементий Мирославович ,30998,Отдел генплана,Постоянно,Начальник отдела,201.17,Проектирование - Генплан,41244,72686,,,,,Крупнобюджетные инвестпроекты,руководители,42879,72686,,"За добросовестный труд, высокий профессионализм, личный вклад в развитие нефтехимической промышленности города Тобольска и в связи с празднованием Дня рождения СИБУРа - Дня химика"
 644,Синие горы,333513068, Токмакова Тамара Данииловна ,25192,Участок №1,Постоянно,Электросварщик ручной сварки,102.19,Централизованное ремонтное производство,41394,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43236,72686,,"За высокое профессиональное мастерство, добросовестный труд, достижения в работе и значительный личный вклад в развитие Общества"
 645,Синие горы,333572647, Комягина Ариадна Глебовна ,30886,Отдел ТОиР электротехнического оборудования,Постоянно,Эксперт,102.18,Единая служба технического заказчика,42529,72686,,,,,Вспомогательный персонал - АУП,специалисты,43236,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и значительный  личный вклад в развитие Общества"
1342,Одинокая гора,300066768, Коченков Владимир Эдуардович ,20959,Энергопроизводство,Постоянно,Начальник смены,101.07,Энергопроизводство,36627,43089,п 3 ч 1 ст 77 ТК РФ,"По инициативе работника, в связи с уходом на пенсию, пункт 3 части первой статьи 77 Трудового кодекса Российской Федерации",в связи с уходом на пенсию,Прочее,Вспомогательный персонал - АУП,руководители,42928,72686,,"""День рождения СИБУРа"""
1191,Озерный город,433401344, Шелагина Ольга Никитевна ,24338,Лаборатория производства мономеров-ОТК,Постоянно,Инженер-химик,137.01,Контроль качества,37987,72686,,,,,Вспомогательный персонал - АУП,специалисты,42934,72686,,За высокие результаты работы
 646,Синие горы,333548784, Лагутова Светлана Ираклиевна ,20135,Конструкторско-технологический отдел,Постоянно,Главный конструктор,102.19,Централизованное ремонтное производство,42411,43293,п 3 ч 1 ст 77 ТК РФ,"По инициативе работника, в связи с уходом на пенсию, пункт 3 части первой статьи 77 Трудового кодекса Российской Федерации",в связи с уходом на пенсию,Прочее,Вспомогательный персонал - АУП,руководители,43278,72686,,В связи с выходом на пенсию
1343,Одинокая гора,300081465, Буслаев Данила Филиппович ,30194,Лаборатория производства окиси этилена и ее производных,Постоянно,Ведущий инженер-химик,137.01,Контроль качества,37900,72686,,,,,Вспомогательный персонал - АУП,специалисты,42880,72686,,"Профессиональный праздник ""День химика"""
1555,Империя сов Илопса,866713763, Аргамакова Рада Тимофеевна ,26609,Отделение металлизации БОПП,Постоянно,Резчик заготовок и изделий из пластических масс,101.02,Производство продукции,41288,72686,,,,,Основной персонал - рабочие,рабочие,43299,72686,,"За достижения в работе и значительный вклад в развитие Предприятия, за высокий профессионализм и добросовестное отношение к труду"
1413,Мория,450004218, Вязьмитина Лилия Семеновна ,23392,ПБСи2ЭГ-Установка получения 2-этилгексанола,Постоянно,Аппаратчик синтеза,101.02,Производство продукции,36827,72686,,,,,Основной персонал - рабочие,рабочие,43242,72686,,За высокие производственные достижения
1556,Империя сов Илопса,866667134, Кубланова Наталья Кузьмевна ,27469,Участок металлизации,Постоянно,Металлизатор,101.02,Производство продукции,38538,72686,,,,,Основной персонал - рабочие,рабочие,43299,72686,,"За достижения в работе и значительный вклад в развитие Предприятия, за высокий профессионализм и добросовестное отношение к труду"
1644,Изенгард,316687214, Ерзова Елизавета Емельяновна ,29535,Отдел АСУТП,Постоянно,Начальник отдела,102.07,Метрология - служба главного метролога,42541,72686,,,,,Вспомогательный персонал - АУП,руководители,42943,72686,,
 647,Синие горы,333457747, Нусуев Ипполит Мирославович ,23080,Лаборатория производства бутадиена,Постоянно,Инженер-химик,137.01,Контроль качества,37252,72686,,,,,Вспомогательный персонал - АУП,специалисты,42865,72686,,"За добросовестный труд, высокие производственные показатели, большой личный вклад в развитие химической отрасли города и в связи с празднованием Дня химика"
 648,Синие горы,333590386, Нусинов Бронислав Семенович ,22642,Участок по эксплуатации водоподготовительной установки,Постоянно,Аппаратчик по приготовлению химреагентов,101.02,Производство продукции,42705,42891,п 3 ч 1 ст 77 ТК РФ,"По инициативе работника, в связи с уходом на пенсию, пункт 3 части первой статьи 77 Трудового кодекса Российской Федерации",в связи с уходом на пенсию,Прочее,Основной персонал - рабочие,рабочие,42767,72686,,В связи с юбилеем
1192,Озерный город,433431040, Вавилов Кондратий Самуилович ,20510,"Участок по ремонту печей пиролиза и изготовлению нестандартного, котельного оборудования",Постоянно,Электрогазосварщик,102.19,Централизованное ремонтное производство,37987,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42914,72686,,За высокие результаты работы
1193,Озерный город,433491966, Набойщикова Рада Брониславовна ,32011,Участок по ремонту компрессорного и динамического оборудования,Постоянно,Слесарь-ремонтник по ремонту технологического оборудования,102.19,Централизованное ремонтное производство,39356,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42982,72686,,День Химика и День рождения СИБУРа
1194,Озерный город,433596315, Стрельцова Арина Геннадиевна ,28129,,,,,,43101,72686,,,,,,,42982,72686,,День Химика и День рождения СИБУРа
 649,Синие горы,333514881, Рязанова Ева Андрияновна ,28084,Ремонтно-механический участок,Постоянно,Токарь,102.19,Централизованное ремонтное производство,41394,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43236,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и значительный  личный вклад в развитие Общества"
 650,Синие горы,333515045, Черникова Ариадна Александровна ,24689,Ремонтно-механический участок,Постоянно,Слесарь-ремонтник,102.19,Централизованное ремонтное производство,41394,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42933,72686,,В связи с юбилеем
 651,Синие горы,333513291, Ябурова Наталья Владиленовна ,21305,Участок № 2,Постоянно,Огнеупорщик,102.19,Централизованное ремонтное производство,41394,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43181,72686,,В связи с юбилеем
1557,Империя сов Илопса,866694119, Салтанова Марфа Романовна ,30428,ПБОПП - Производство пленки,Постоянно,Старший оператор дистанционного пульта управления в химическом производстве,101.02,Производство продукции,41288,72686,,,,,Основной персонал - рабочие,рабочие,42901,72686,,
1414,Мория,450014018, Сталин Харитон Феликсович ,23572,"ПЭиП-Установка разделения сжиженных газов, щелочной очистки и получения метилтретбутилового эфира",Постоянно,Аппаратчик газоразделения,101.02,Производство продукции,36804,72686,,,,,Основной персонал - рабочие,рабочие,43242,72686,,За высокие производственные достижения
1415,Мория,450014018, Сталин Харитон Феликсович ,23572,"ПЭиП-Установка разделения сжиженных газов, щелочной очистки и получения метилтретбутилового эфира",Постоянно,Аппаратчик газоразделения,101.02,Производство продукции,36804,72686,,,,,Основной персонал - рабочие,рабочие,43291,72686,,За высокие результаты работы
 652,Синие горы,333513769, Сычкина Лада Ивановна ,32524,Участок № 2,Постоянно,Мастер по ремонту технологического оборудования,102.19,Централизованное ремонтное производство,41394,72686,,,,,Вспомогательный персонал - АУП,руководители,42865,72686,,"За многолетний добросовестный труд, высокие производственные показатели, большой личный вклад в развитие химической отрасли города и в связи с профессиональным праздником ""День химика"""
1801,Суллуст ,516667946, Фанина Лада Серафимовна ,21025,Служба Эксплуатация путей необщего пользования,Постоянно,Машинист тепловоза,104.07,Эксплуатация и развитие путей необщего пользования,39700,43189,п 3 ч 1 ст 77 ТК РФ,"По инициативе работника, в связи с уходом на пенсию, пункт 3 части первой статьи 77 Трудового кодекса Российской Федерации",в связи с уходом на пенсию,Прочее,Вспомогательный персонал - рабочие,рабочие,42736,43100,,"Программа стимулирования работников в области ОТ, ПБ и ООС"
  83,Ба́мблби,633516863, Дворникова Владислава Ильевна ,30837,,,,,,43191,72686,,,,,,,42937,72686,,
 653,Синие горы,333575339, Якубович Степан Владиславович ,24556,"Группа ремонта тепловой автоматики, пневмоавтоматики и первичной подготовки приборов",Постоянно,Слесарь по контрольно-измерительным приборам и автоматике,102.19,Централизованное ремонтное производство,42571,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42796,72686,,В связи с юбилеем
1160,Туарег,50025665, Цуцкова Инесса Филипповна ,24608,Лаборатория санитарно-экологического контроля,Постоянно,Лаборант,137.01,Контроль качества,36161,42842,,,,,Вспомогательный персонал - рабочие,рабочие,42859,72686,16.05.2017г. исполняется 50 лет,В связи с юбилейной датой
 654,Синие горы,333590393, Анюкова Кристина Олеговна ,21235,Участок систем диспетчерско-технологического управления,Постоянно,Мастер,101.02,Производство продукции,42705,72686,,,,,Основной персонал - АУП,руководители,43214,72686,,"За многолетний добросовестный труд, высокий профессионализм, большой личный вклад в развитие нефтехимической промышленности и города Тобольска и в связи с празднованием ""Дня рождения СИБУРа - Дня химика"""
 655,Синие горы,333590393, Анюкова Кристина Олеговна ,21235,Участок систем диспетчерско-технологического управления,Постоянно,Мастер,101.02,Производство продукции,42705,72686,,,,,Основной персонал - АУП,руководители,43152,72686,,"За высокие достижения в труде, большой личный вклад в развитие Общества и в связи с празднованием 60-летнего юбилея работника"
1195,Озерный город,433582387, Яркова Марина Александровна ,28523,"Группа №3 ремонта и ТО КИПиА физико-химических измерений производств: мономеров, полипропилена и полиэтилена",Постоянно,Ведущий инженер по контрольно-измерительным приборам и автоматике,102.07,Метрология - служба главного метролога,42571,72686,,,,,Вспомогательный персонал - АУП,специалисты,42982,72686,,День Химика и День рождения СИБУРа
 656,Синие горы,333531515, Котельников Виктор Прохорович ,33858,"Подготовка кадров для ООО ""ЗапСибНефтехим""",Постоянно,Аппаратчик перегонки,101.02,Производство продукции,41719,43258,п 5 ч 1 ст 77 ТК РФ,"в связи с переводом работника по его просьбе на работу к другому работодателю, пункт 5 части первой статьи 77 Трудового кодекса Российской Федерации",с последующим приемом в рамках Холдинга/ дружественного предприятия,Перевод_внутри_Холдинга,Крупнобюджетные инвестпроекты,рабочие,43088,72686,,За значительный личный вклад в развитие движения чемпионатов сквозных рабочих профессий высокотехнологичных отраслей промышленности WorldSkills и конкурсов профессионального мастерства в Обществе
 657,Синие горы,333469293, Шульдешова Елизавета Игоревна ,24563,Служба заказчика по уборке,Постоянно,Ведущий специалист,122.02,Клининг,37252,72686,,,,,Вспомогательный персонал - АУП,специалисты,42800,72686,,"За высокий профессионализм, многолетний добросовестный труд и в связи с 50-летним юбилеем"
 658,Синие горы,333469293, Шульдешова Елизавета Игоревна ,24563,Служба заказчика по уборке,Постоянно,Ведущий специалист,122.02,Клининг,37252,72686,,,,,Вспомогательный персонал - АУП,специалисты,43236,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и значительный  личный вклад в развитие Общества"
 659,Синие горы,333460339, Маркин Святослав Валерьянович ,22836,Участок компримирования,Постоянно,Машинист компрессорных установок,101.07,Энергопроизводство,37252,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42899,72686,,В связи с юбилеем
 660,Синие горы,333512018, Солодовников Евграф Филимонович ,33715,"Участок по эксплуатации и ремонту электрооборудования цехов по производству бутадиена (по производству углеводородов, их соединений и простых эфиров)",Постоянно,Электромонтер по ремонту и обслуживанию электрооборудования,102.19,Централизованное ремонтное производство,41388,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42879,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и значительный  личный вклад в развитие Общества"
 661,Синие горы,333532046, Седыха Василиса Брониславовна ,26520,Центральная заводская лаборатория (ЦЗЛ),Постоянно,Ведущий инженер-химик,137.01,Контроль качества,41743,72686,,,,,Вспомогательный персонал - АУП,специалисты,42881,72686,,"За высокие результаты работы, а также в соответствии с договором о передаче полномочий единоличного исполнительного органа ПАО ""Сибур Холдинг"" управляющей организации ООО ""СИБУР"""
1416,Мория,450068182, Косяк Трофим Артемиевич ,28356,ЕСТЗ - Отдел планирования и обеспечения поддержания основных фондов,Постоянно,Специалист по планированию поддержания основных фондов,102.18,Единая служба технического заказчика,42306,72686,,,,,Администрация,специалисты,43242,72686,,За высокие производственные достижения
 203,Лихолесье,283339665, Самохина Зоя Василиевна ,27585,Участок по эксплуатации подстанционного электрооборудования и сетей,Постоянно,Электромонтер по ремонту и обслуживанию электрооборудования,102.19,Централизованное ремонтное производство,34241,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42826,43190,Информационный лист службы ОТ и ПБ,"Программа стимулирования работников в области ОТ, ПБ и ООС ""Чемпион"""
 204,Лихолесье,283339665, Самохина Зоя Василиевна ,27585,Участок по эксплуатации подстанционного электрооборудования и сетей,Постоянно,Электромонтер по ремонту и обслуживанию электрооборудования,102.19,Централизованное ремонтное производство,34241,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42736,43100,,"Программа стимулирования работников в области ОТ, ПБ и ООС ""Чемпион"""
 662,Синие горы,333410742, Пугина Рената Александровна ,29625,Отдел главного метролога,Постоянно,Главный эксперт по автоматизированным системам управления технологическим процессом,102.07,Метрология - служба главного метролога,38399,72686,,,,,Администрация,специалисты,42881,72686,,"За высокие результаты работы, а также в соответствии с договором о передаче полномочий единоличного исполнительного органа ПАО ""Сибур Холдинг"" управляющей организации ООО ""СИБУР"""
 663,Синие горы,333462413, Сапалёва Антонина Серафимовна ,21119,Группа эксплуатации и ремонта электрооборудования азотно-кислородного производства (АКП),Постоянно,Электромонтер по ремонту и обслуживанию электрооборудования,102.19,Централизованное ремонтное производство,37252,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42996,72686,,В связи с юбилеем
 664,Синие горы,333462413, Сапалёва Антонина Серафимовна ,21119,Группа эксплуатации и ремонта электрооборудования азотно-кислородного производства (АКП),Постоянно,Электромонтер по ремонту и обслуживанию электрооборудования,102.19,Централизованное ремонтное производство,37252,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43076,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и в связи с празднованием Дня энергетика"
